epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9331.78,1.01289,1.11326,1.26395,0.98316,0.79098,0.83373,0.47628,1.5984,1.13626,1.52587,0.0011882,0.0011882,0.0011882
43,9549.98,0.97157,1.02342,1.21855,0.98321,0.79404,0.84725,0.53617,1.40898,1.09181,1.44208,0.0011684,0.0011684,0.0011684
44,9770.58,1.0111,1.08332,1.27405,0.98294,0.79675,0.85067,0.53372,1.47779,1.07804,1.44686,0.0011486,0.0011486,0.0011486
45,9988.99,0.98728,1.07176,1.23577,0.98652,0.79353,0.84017,0.54177,1.41966,1.09089,1.43929,0.0011288,0.0011288,0.0011288
46,10207.6,0.97217,1.03923,1.22273,0.97971,0.7832,0.84413,0.5139,1.53913,1.09371,1.49248,0.001109,0.001109,0.001109
47,10428.6,0.94873,1.02834,1.20531,0.97264,0.79675,0.85115,0.51313,1.49297,1.08952,1.41003,0.0010892,0.0010892,0.0010892
48,10649.1,0.97508,0.99499,1.21143,0.97347,0.79554,0.83034,0.47751,1.59533,1.08941,1.47192,0.0010694,0.0010694,0.0010694
49,10870.4,0.96052,1.00817,1.21304,0.98544,0.80217,0.85299,0.50179,1.4801,1.072,1.44496,0.0010496,0.0010496,0.0010496
50,11090.3,0.97309,1.04503,1.23248,0.97674,0.79646,0.8536,0.52449,1.48622,1.07856,1.4596,0.0010298,0.0010298,0.0010298
51,11310.9,0.94378,0.9974,1.21733,0.98223,0.79404,0.84318,0.51599,1.49297,1.09303,1.4317,0.00101,0.00101,0.00101
52,11530.8,0.9295,0.98649,1.20576,0.98657,0.79647,0.84801,0.49269,1.55567,1.07574,1.4973,0.0009902,0.0009902,0.0009902
53,11751.1,0.94971,0.99094,1.21218,0.98219,0.79404,0.84833,0.50614,1.5421,1.06092,1.45861,0.0009704,0.0009704,0.0009704
54,11970.9,0.93319,0.97727,1.2024,0.98247,0.79404,0.8454,0.53084,1.45261,1.01784,1.40498,0.0009506,0.0009506,0.0009506
55,12191.5,0.97211,1.00195,1.21474,0.98472,0.79404,0.84739,0.51087,1.49591,1.05558,1.44104,0.0009308,0.0009308,0.0009308
56,12411.5,0.90438,0.95025,1.17434,0.98989,0.7959,0.85216,0.5171,1.47933,1.05872,1.45981,0.000911,0.000911,0.000911
57,12631.8,0.97023,1.03678,1.2364,0.9868,0.79675,0.84433,0.54374,1.38961,1.03874,1.41367,0.0008912,0.0008912,0.0008912
58,12852,0.89904,0.92666,1.17623,0.97589,0.79946,0.84917,0.54378,1.37715,1.03004,1.37066,0.0008714,0.0008714,0.0008714
59,13072.2,0.95614,1.00089,1.21627,0.98502,0.79946,0.85615,0.47428,1.59709,1.1169,1.46958,0.0008516,0.0008516,0.0008516
60,13292.1,0.89888,0.91002,1.15523,0.98538,0.79404,0.85277,0.48043,1.6277,1.07556,1.50621,0.0008318,0.0008318,0.0008318
61,13512.8,0.93717,0.9949,1.21118,0.97705,0.79946,0.85789,0.52457,1.47822,1.02481,1.44476,0.000812,0.000812,0.000812
62,13732.2,0.93853,0.97673,1.22201,0.9865,0.79199,0.85369,0.51468,1.49963,1.06881,1.47927,0.0007922,0.0007922,0.0007922
63,13951.9,0.90344,0.9043,1.1541,0.98195,0.80217,0.85481,0.52078,1.48192,1.05674,1.48075,0.0007724,0.0007724,0.0007724
64,14171,0.91068,0.96114,1.19979,0.98471,0.79946,0.85202,0.50375,1.50622,1.0391,1.45794,0.0007526,0.0007526,0.0007526
65,14390.3,0.89143,0.93785,1.18527,0.98328,0.79696,0.84853,0.51912,1.45006,1.06434,1.40051,0.0007328,0.0007328,0.0007328
66,14609.6,0.88616,0.93779,1.17073,0.98444,0.79675,0.86418,0.52279,1.46467,1.00601,1.39995,0.000713,0.000713,0.000713
67,14829.4,0.89437,0.93834,1.1979,0.98205,0.79675,0.86136,0.52081,1.5024,1.01956,1.43309,0.0006932,0.0006932,0.0006932
68,15051.3,0.89604,0.92693,1.16737,0.97606,0.80217,0.85915,0.52502,1.43952,1.04345,1.42447,0.0006734,0.0006734,0.0006734
69,15272.6,0.90481,0.96804,1.20295,0.98269,0.79946,0.86146,0.53031,1.42947,1.04168,1.4257,0.0006536,0.0006536,0.0006536
70,15493.8,0.90519,0.93572,1.17793,0.98324,0.79474,0.85848,0.55568,1.34278,0.97497,1.39409,0.0006338,0.0006338,0.0006338
71,15715.1,0.86623,0.88271,1.15147,0.97039,0.79925,0.85461,0.50306,1.5701,1.05105,1.4814,0.000614,0.000614,0.000614
